OrderID,OrderInfo,Product,Category,Region,SalesAmount,Currency,CustomerName,SalesRep,OrderStatus,Discount %,Units,SourceChannel,Notes
NHF-10035, 11 May 2024 | Madrid | Spain,Almond Butter 340g,pantry,Europe,883.12,EUR, The Market Loft ,Sophie Tremblay,Returned, 10 % ,48,Online,
NHF-10036,2024/11/28 - Lyon - France ,Extra Virgin Olive Oil 750ml,Pantry,Europe,43.22, EUR ,Harborline Foods,Priya Shah,completed,10%, 9 ,Distributor,
NHF-10037, 07/22/2024|London|UK,Protein Bars 6pk,snacks,Europe,"30,26", gbp ,,Nina Patel,Pending,5%,8,Online,
NHF-10038," Jul 02, 2024| Austin | USA",Cold Brew Coffee 1L,Beverage,north america,27.90,USD, Cornerstone Retail ,Nina Patel,Completed,0.2, 2 ,Online,VIP client
NHF-10039,14 Jul 2024 | Manchester | UK,Dark Chocolate Bites 200g,Snacks,Europe,400.33,GBP, Healthy Living Depot ,Daniel Brooks,Cancelled,,33,Distributor,
NHF-10040,10/14/2024|Berlin|Germany,Extra Virgin Olive Oil 750ml,Pantry,europe,268,eur,Fresh  &  Fine  ,Carlos Mendez,Cancelled,0%, 27 ,Distributor,
NHF-10042,2024-06-22 | Munich | Germany,Organic Oats 1kg,Pantry, Europe ,225.42,EUR,Family Choice Superstore,Jonas Weber,Completed,0.05,12,Retail,Phone order
NHF-10043, 06 Sep 2024 | Manchester | UK,Maple Granola 500g,breakfast,Europe,154.26, gbp ,FRESH  &  FINE  ,Daniel Brooks,Pending,,15,Wholesale,Manual adjustment
NHF-10045,28 Mar 2024 | Dublin | Ireland,Coconut Chips 150g,Snacks,Europe,41,EUR,Euro Taste Hub,Megan O'Neil,Cancelled,0%,6,Wholesale,Rush delivery
NHF-10046,2024/12/14 - Berlin - Germany ,Cold Brew Coffee 1L,Beverage,Europe,$97.94,eur,CORNERSTONE RETAIL,Carlos Mendez,processing,10%,10,Online,
NHF-10047,"Dec 31, 2024| Montreal | Canada",Electrolyte Drink Mix,Fitness,North America,"891,74", cad ,Family Choice Superstore,Fatima Noor,completed,0,42,Online,Phone order
NHF-10048,"Mar 07, 2024 |  Montreal  |  Canada",Almond Butter 340g,Pantry,North America,"380,55",CAD ,Green Basket Co.,Priya Shah,Cancelled, 20 % ,36,Retail,Phone order
NHF-10049,07/11/2024|New York|USA,Sparkling Water 12pk,Beverage,North America, 173.35 ,USD,Cornerstone  Retail,Megan O'Neil,Completed ,N/A,12,Online,Late entry
NHF-10051, 01/27/2024|Madrid|Spain,Coconut Chips 150g,Snacks, Europe ,123.58,EUR,HEALTHY LIVING DEPOT,Fatima Noor,processing,0%,36,Online,
NHF-10052," Dec 27, 2024| Madrid | Spain",Dark Chocolate Bites 200g,Snacks,Europe,449.06,EUR,  LAKESIDE  MARKET  ,Jonas Weber,completed,N/A,40,Online,Manual adjustment
NHF-10053,03-07-2024 | Montreal | Canada,Electrolyte Drink Mix,Fitness,north america,, cad ,  Maple Leaf Market ,Carlos Mendez,Cancelled,0%,35,Retail,Rush delivery
NHF-10055,01/22/2024|Berlin|Germany,Almond Butter 340g,Pantry,Europe,"379,73",EUR,Prime Select Stores,Sophie Tremblay,processing,0%, 33 ,Online,
NHF-10056,12/04/2024|Manchester|UK,Almond Butter 340g,Pantry,Europe, 369.10 , gbp , Peak Performance Gym ,Daniel Brooks, Shipped,0%,29,Retail,
NHF-10057,08/15/2024|Montreal|Canada,Herbal Tea Sampler,Beverage,North America,233.22,CAD , FRESH & FINE  ,Jonas Weber,Completed ,0%,34,Retail,
NHF-10058," Dec 30, 2024| Chicago | USA",Coconut Chips 150g,Snacks,North America,158.58,usd,THE  MARKET  LOFT,Daniel Brooks,Completed ,0%,33,Online,
NHF-10059,2024/03/04 - New York - USA,Almond Butter 340g,Pantry,North America,"63,95",USD,Prime Select Stores,Carlos Mendez, Shipped, 0 % ,11,Retail,
NHF-10060,15 May 2024 | Seattle | USA,Greek Yogurt Mix,Dairy,North America,505.58,usd, Lakeside Market ,Sophie Tremblay, Shipped, 20 % , 40 ,Online,Rush delivery
NHF-10062,02/19/2024 | Vancouver | Canada ,Almond Butter 340g,Pantry,North America,463.79,CAD,North Shore Foods,A. Wong,processing,0%,25,Retail,
NHF-10063," Jul 25, 2024| Munich | Germany",Maple Granola 500g,Breakfast,Europe,285.64,EUR,  City Grocer,Fatima Noor,Pending,N/A,26,Online,Phone order
NHF-10064,2024/11/11 - Manchester - UK,Cold Brew Coffee 1L,Beverage,Europe,, gbp ,nature box ltd,Jonas Weber,Pending,0%, 33 ,Retail,Late entry
NHF-10065,30 Jul 2024 | Seattle | USA,Greek Yogurt Mix,Dairy,North America,142.37,usd,Harborline Foods,Nina Patel,Cancelled,0.2,33,Distributor,VIP client
NHF-10066,2024/06/11 - Madrid - Spain,Coconut Chips 150g,Snacks,Europe,144.04,EUR,  City Grocer,Sophie Tremblay,Completed ,5%, 36 ,Online,Late entry
NHF-10067,02/21/2024|New York|USA,Organic Oats 1kg,pantry,North America,,usd,Euro Taste Hub,Megan O'Neil,Completed,N/A,36,Distributor,
NHF-10068,"Jun 20, 2024| Manchester | UK ",Dark Chocolate Bites 200g,Snacks, Europe , 414.71 ,GBP, Cornerstone Retail ,Luca Rossi,Pending,15%,42,Online,
NHF-10069,2024/06/17 - Manchester - UK,Organic Oats 1kg,Pantry,Europe,"240,54", gbp ,Fresh  &  Fine  ,Priya Shah,Completed ,5%,17,Retail,
NHF-10070,2024/10/15 - Calgary - Canada,Maple Granola 500g,Breakfast,North America,"279,40",CAD ,nature  box  ltd,Priya Shah,Completed ,0%,36,Retail,Manual adjustment
NHF-10071,"Feb 05, 2024| Madrid | Spain",Maple Granola 500g,breakfast, Europe ,282.55,EUR,Cornerstone Retail,Nina Patel,Cancelled,0.15,19,Wholesale,
NHF-10072,2024-06-26 | New York | USA,Tomato Basil Sauce 680g,Pantry,North America,269.20,USD,  SUNRISE  WELLNESS  ,Jonas Weber,Completed, 10 % ,13,Distributor,Phone order
NHF-10073,"Apr 23, 2024| Lyon | France",Almond Butter 340g,Pantry,Europe,93.78, EUR , Prime Select Stores ,Priya Shah, Shipped,,18,Wholesale,
NHF-10075,2024-04-14  |  Berlin  |  Germany,Berry Jam 340g,Pantry,Europe,511.00,EUR,The  Daily  Cart,Megan O'Neil,Cancelled,20%,29,Wholesale,Late entry
NHF-10076,08/26/2024|Munich|Germany,Almond Butter 340g,Pantry,Europe,155,EUR,Fit Fuel Studio,A. Wong,processing,0%,17,Wholesale,Rush delivery
NHF-10077,2024/03/27 - New York - USA,Keto Trail Mix 300g,Snacks,North America,342.92,USD,  Maple Leaf Market ,A. Wong,Completed , 20 % ,32,Retail,
NHF-10078, 09 Jan 2024 | Lyon | France,Sparkling Water 12pk,Beverage,Europe,48.59,EUR, Fit Fuel Studio ,Luca Rossi,completed,, 7 ,Wholesale,Phone order
NHF-10079,27-09-2024  |  Vancouver  |  Canada,Whole Wheat Pasta 500g,Pantry,North America,232.21,CAD ,Nature  Box  Ltd,Megan O'Neil,processing,0.15,14,Online,
NHF-10080, 02/20/2024|Lyon|France,Whole Wheat Pasta 500g,Pantry, Europe ,, EUR ,HARVEST HOUSE ,Priya Shah,processing,0%,5,Retail,
NHF-10081,05/18/2024|Calgary|Canada,Herbal Tea Sampler,Beverage,North America,54.03,CAD ,Euro Taste Hub,Nina Patel,Pending,15%,6,Distributor,Rush delivery
NHF-10082,11/16/2024|Madrid|Spain,Protein Bars 6pk,Snacks,Europe,$162.11,EUR,Healthy  Living  Depot,Fatima Noor,Pending, 5 % ,30,Distributor,Manual adjustment
NHF-10083,2024/10/30 - Chicago - USA,Keto Trail Mix 300g,Snacks,North America,15.15,usd, Harborline Foods ,Daniel Brooks,completed, 0 % ,2,Distributor,
NHF-10084,"May 07, 2024| Munich | Germany",Sparkling Water 12pk,Beverage,Europe,531.70,EUR,  MAPLE LEAF MARKET ,Nina Patel,Pending,N/A,42,Retail,
NHF-10085,"Jun 08, 2024| Berlin | Germany",Dark Chocolate Bites 200g,Snacks,Europe,118,EUR,  Maple  Leaf  Market,Megan O'Neil, Shipped,N/A, 14 ,Online,Rush delivery
NHF-10086, 2024/04/15 - London - UK ,Berry Jam 340g,Pantry,Europe, 241.23 , gbp ,   Everyday Essentials ,Sophie Tremblay,Returned,0%,37,Wholesale,
NHF-10087,2024-11-21 | Chicago | USA,Keto Trail Mix 300g,snacks,North America, 64.69 ,USD,The Daily Cart,Sophie Tremblay,Completed ,0.05,11,Wholesale,
NHF-10088,05 Oct 2024 | Munich | Germany,Keto Trail Mix 300g,Snacks,Europe,18.50,EUR,CORNERSTONE  RETAIL,Carlos Mendez,Pending,5%,3,Retail,Phone order
NHF-10089,2024/06/14 - Manchester - UK,Almond Butter 340g,pantry,Europe,"336,62",GBP,Peak  Performance  Gym,Fatima Noor,processing,,37,Distributor,Phone order
NHF-10090,"Jan 02, 2024 |  Montreal  |  Canada",Dark Chocolate Bites 200g,Snacks, North America ,293.33, cad ,Euro Taste Hub,Sophie Tremblay,Completed,N/A,41,Online,VIP client
NHF-10092,2024-02-17 | Munich | Germany,Tomato Basil Sauce 680g,pantry, Europe ,54.24,EUR,FRESH  &  FINE  ,Megan O'Neil,Completed ,0%, 6 ,Distributor,VIP client
NHF-10093,24-11-2024 | New York | USA,Berry Jam 340g,Pantry,North America,493,usd, THE DAILY CART ,Jonas Weber,Cancelled,0%,34,Retail,VIP client
NHF-10094,19-07-2024  |  Manchester  |  UK,Maple Granola 500g,Breakfast,europe, 119.85 , gbp ,  City Grocer,Priya Shah,completed,0%,16,Wholesale,Manual adjustment
NHF-10095,2024/03/19 - London - UK,Berry Jam 340g,Pantry,Europe,119.19,GBP,Lakeside  Market,Carlos Mendez,completed,0%,20,Distributor,
NHF-10097,26-03-2024 | Munich | Germany,Herbal Tea Sampler,Beverage,Europe,651.43,EUR, Peak Performance Gym ,, Shipped,,48,Retail,Late entry
NHF-10098,01-04-2024 | Vancouver | Canada ,Keto Trail Mix 300g,Snacks,North America,262.86, cad , Fresh & Fine  ,A. Wong,completed,0.2,46,Online,Rush delivery
NHF-10099,2024-10-06  |  Austin  |  USA,Herbal Tea Sampler,Beverage,North America,9.66,usd,LAKESIDE  MARKET,Sophie Tremblay, Shipped,N/A,1,Online,Manual adjustment
NHF-10100,2024-12-05 | New York | USA,Whole Wheat Pasta 500g,Pantry,North America, 144.72 ,USD,THE  DAILY  CART,Carlos Mendez,Completed ,,19,Distributor,
NHF-10101, 16 Feb 2024 | Austin | USA,Coconut Chips 150g,Snacks,North America,327.62,USD,  Fresh  &  Fine    ,Megan O'Neil,processing,,26,Wholesale,
NHF-10102,"Mar 03, 2024| Vancouver | Canada ",Dark Chocolate Bites 200g,Snacks,North America,22.86,CAD,NORTH  SHORE  FOODS,Jonas Weber,Pending,20%,4,Retail,Manual adjustment
NHF-10103,05 Sep 2024  |  Munich  |  Germany,Electrolyte Drink Mix,Fitness,Europe,"745,73",eur,,Megan O'Neil,Returned,0.05,21,Distributor,Phone order
NHF-10105,10/17/2024|New York|USA,Protein Bars 6pk,Snacks,North America,87.49,usd,   EVERYDAY ESSENTIALS ,, Shipped,0%,32,Distributor,VIP client
NHF-10106,23-11-2024 | Madrid | Spain,Cold Brew Coffee 1L,Beverage,Europe,194.47,EUR,  Lakeside  Market  ,Jonas Weber,Completed,10%,12,Online,Phone order
NHF-10107,2024-12-28 | Berlin | Germany,Dark Chocolate Bites 200g,snacks,europe,4.73,eur,North Shore Foods,Carlos Mendez,Pending,N/A,1,Retail,Phone order
NHF-10108,"Dec 26, 2024 |  Toronto  |  Canada",Greek Yogurt Mix,Dairy,north america,261.33,CAD ,  THE  MARKET  LOFT  ,A. Wong,Completed ,5%,42,Retail,Rush delivery
NHF-10109,"Aug 29, 2024| Madrid | Spain",Tomato Basil Sauce 680g,Pantry,Europe,"82,12",EUR, Sunrise Wellness ,Carlos Mendez,Cancelled,N/A,6,Wholesale,Late entry
NHF-10110,14-09-2024 | New York | USA ,Extra Virgin Olive Oil 750ml,Pantry,North America,231,usd,The Daily Cart,Carlos Mendez,processing,N/A,29,Online,
NHF-10111,26-05-2024 | Munich | Germany,Greek Yogurt Mix,Dairy, Europe ,112.16,eur,Urban  Pantry,Sophie Tremblay,Cancelled,5%,17,Wholesale,Phone order
NHF-10112,06-04-2024 | Dublin | Ireland,Protein Bars 6pk,Snacks,europe,278,EUR,    City  Grocer,Megan O'Neil,Pending,,27,Wholesale,Rush delivery
NHF-10113,10/09/2024|Munich|Germany ,Coconut Chips 150g,Snacks,Europe,"38,29",EUR, Sunrise Wellness ,A. Wong,Completed,0.1,11,Wholesale,Phone order
NHF-10115,2024/12/12 - Paris - France,Extra Virgin Olive Oil 750ml,Pantry,Europe,11,EUR,HARVEST HOUSE ,Luca Rossi,Returned,0%,1,Retail,Rush delivery
NHF-10116,26 Jul 2024 | Paris | France,Maple Granola 500g,Breakfast,Europe, 453.01 , EUR ,Bluebird Grocery,Luca Rossi, Shipped,,38,Distributor,Manual adjustment
NHF-10117,10/26/2024|Manchester|UK,Dark Chocolate Bites 200g,Snacks, Europe ,98, gbp ,Bluebird  Grocery,Megan O'Neil,Completed ,,8,Online,
NHF-10118, 2024/03/07 - Lyon - France ,Greek Yogurt Mix,Dairy,Europe,287.27,EUR,  Maple Leaf Market ,Fatima Noor,completed, 20 % ,26,Wholesale,
NHF-10119,"Apr 06, 2024| Chicago | USA",Sea Salt Crackers 250g,Snacks,north america,19.21,USD,Family  Choice  Superstore,A. Wong,Completed,0%,2,Retail,
NHF-10120, 2024-08-02  |  Calgary  |  Canada ,Electrolyte Drink Mix,Fitness,North America,"$2,158.56",CAD, Fit Fuel Studio ,Megan O'Neil,Completed ,, 47 ,Retail,VIP client
NHF-10121,2024-05-15 | Dublin | Ireland ,Maple Granola 500g,Breakfast,Europe,84.72,EUR,  Maple Leaf Market ,Sophie Tremblay,Returned,N/A,7,Online,
NHF-10122,23 Feb 2024 | Lyon | France,Vanilla Protein Powder 1kg,Fitness,Europe,"1,583.08",EUR,Harvest  House  ,Luca Rossi,Completed,0.2,37,Retail,Manual adjustment
NHF-10123,12/05/2024 | Paris | France,Herbal Tea Sampler,Beverage,Europe,$121.34,EUR, Green Basket Co. ,Nina Patel,processing,0,36,Retail,
NHF-10124,01 Jan 2024 | Montreal | Canada,Almond Butter 340g,Pantry,north america,468.40, cad ,The Market Loft,Sophie Tremblay,Pending,15%, 33 ,Wholesale,
NHF-10126,"Jul 20, 2024| Seattle | USA",Dark Chocolate Bites 200g,Snacks,North America,171.40,usd, Cornerstone Retail ,Nina Patel,processing,0%,13,Distributor,
NHF-10127,20 Dec 2024  |  Austin  |  USA,Tomato Basil Sauce 680g,Pantry,North America,$528.39,usd,The Market Loft,Megan O'Neil,Returned,0%,26,Distributor,
NHF-10129,"Dec 11, 2024 |  Manchester  |  UK",Greek Yogurt Mix,Dairy,Europe,5.16, gbp ,HARBORLINE FOODS,Luca Rossi,Completed, 15 % ,1,Distributor,
NHF-10130,2024-10-09  |  Vancouver  |  Canada,Organic Oats 1kg,Pantry,North America,413.82,CAD ,Fit Fuel Studio,Megan O'Neil, Shipped, 10 % , 48 ,Distributor,
NHF-10131,01/21/2024|New York|USA,Cold Brew Coffee 1L,Beverage,north america,415,usd,  BLUEBIRD  GROCERY  ,Nina Patel,processing,N/A,39,Retail,
NHF-10132,11/14/2024|Austin|USA,Maple Granola 500g,Breakfast,North America, 337.13 ,usd, Bluebird Grocery ,Megan O'Neil,completed,0%,44,Wholesale,
NHF-10134,2024/11/27 - Montreal - Canada ,Herbal Tea Sampler,Beverage,North America,8.92,CAD,Peak Performance Gym,Daniel Brooks,Completed, 0 % ,2,Distributor,
NHF-10135,2024-07-21 | Toronto | Canada,Vanilla Protein Powder 1kg,Fitness,North America,458.37,CAD ,Prime Select Stores,,processing,0%, 11 ,Online,Late entry
NHF-10136,02 Apr 2024 | Vancouver | Canada,Keto Trail Mix 300g,Snacks,North America, 166.71 , cad ,      City  Grocer  ,Megan O'Neil,Completed ,N/A, 30 ,Online,Late entry
NHF-10137,2024/07/03 - New York - USA,Cold Brew Coffee 1L,Beverage,North America,$246.85,USD,THE MARKET LOFT,Carlos Mendez,Completed, 15 % ,31,Online,Phone order
NHF-10138," May 28, 2024| New York | USA",Dark Chocolate Bites 200g,Snacks,North America, 317.40 ,USD, BLUEBIRD GROCERY ,Jonas Weber, Shipped,0%,33,Distributor,Manual adjustment
NHF-10140,21-01-2024 | Berlin | Germany,Extra Virgin Olive Oil 750ml,Pantry,Europe,833.39,eur, Fit Fuel Studio ,Megan O'Neil,Cancelled,5%, 46 ,Distributor,Late entry
NHF-10141,03/01/2024|Austin|USA,Greek Yogurt Mix,Dairy,North America,"102,44",USD,    City  Grocer,Jonas Weber, Shipped,0%,22,Online,Rush delivery
NHF-10143,2024/03/28 - Austin - USA,Greek Yogurt Mix,dairy,North America,"336,80",usd,    Everyday  Essentials,Megan O'Neil,processing, 0 % , 39 ,Online,
NHF-10144,2024-09-24 | Lyon | France,Coconut Chips 150g,Snacks,Europe,24.18,EUR,HEALTHY  LIVING  DEPOT,Carlos Mendez,processing,0%,3,Distributor,Manual adjustment
NHF-10145,"May 09, 2024| London | UK ",Keto Trail Mix 300g,Snacks,Europe,"183,20",GBP,Fit Fuel Studio,Daniel Brooks,completed, 20 % ,28,Retail,
NHF-10147, 2024/03/15 - Madrid - Spain,Greek Yogurt Mix,Dairy,Europe, 44.75 ,EUR,    EVERYDAY  ESSENTIALS,Sophie Tremblay,Pending,0%,6,Retail,
NHF-10148,2024/06/29 - Paris - France,Sea Salt Crackers 250g,Snacks, Europe ,465.98, EUR ,Fit  Fuel  Studio,Daniel Brooks,Returned, 20 % ,38,Wholesale,Manual adjustment
NHF-10149,"Aug 22, 2024| Dublin | Ireland",Organic Oats 1kg,Pantry, Europe ,176.29,EUR, Bluebird Grocery ,Daniel Brooks,Cancelled,15%,31,Online,Late entry
NHF-10150,2024/05/07 - Munich - Germany,Herbal Tea Sampler,Beverage,Europe,125.12,eur,Fit Fuel Studio,Luca Rossi,Returned,0.15,7,Online,Rush delivery
NHF-10151,06/10/2024|Toronto|Canada,Organic Oats 1kg,Pantry,North America,300.62, cad ,  Everyday Essentials,Fatima Noor,processing,20%,44,Wholesale,Late entry
NHF-10152,2024-08-30 | Toronto | Canada,Sparkling Water 12pk,Beverage,North America,357.99,CAD ,  NATURE  BOX  LTD  ,Megan O'Neil,Completed ,0.1, 27 ,Retail,Phone order
NHF-10153,22-10-2024 | Chicago | USA,Almond Butter 340g,Pantry,north america, 208.93 ,USD,North Shore Foods,Daniel Brooks,completed,N/A,23,Wholesale,Manual adjustment
NHF-10154," Apr 30, 2024| London | UK",Berry Jam 340g,pantry,Europe,92,GBP, FRESH & FINE  ,Daniel Brooks,Pending,0.15,14,Distributor,
NHF-10155,31 Mar 2024 | Dublin | Ireland,Greek Yogurt Mix,dairy,Europe,191.53,EUR, PEAK PERFORMANCE GYM ,Priya Shah,Completed ,0.2,34,Retail,
NHF-10157,"Aug 11, 2024| Paris | France",Whole Wheat Pasta 500g,pantry,europe,166.55, EUR ,  Lakeside  Market  ,Carlos Mendez,Returned, 0 % ,11,Retail,VIP client
NHF-10159,29-04-2024 | Montreal | Canada,Herbal Tea Sampler,Beverage,North America, 7.93 , cad , Green Basket Co. ,Carlos Mendez, Shipped,N/A,1,Retail,Late entry
NHF-10160,06-12-2024  |  Seattle  |  USA,Vanilla Protein Powder 1kg,Fitness,North America," 1,168.51 ",usd,Harvest House ,Megan O'Neil,Pending,,25,Wholesale,
NHF-10162,2024-09-12 | Montreal | Canada,Cold Brew Coffee 1L,Beverage,North America, 200.89 ,CAD ,Prime  Select  Stores,Daniel Brooks, Shipped,20%,41,Wholesale,VIP client
NHF-10163,"Mar 23, 2024| Montreal | Canada",Electrolyte Drink Mix,Fitness,North America, 354.82 ,CAD,   Everyday Essentials ,Nina Patel,Pending,,10,Retail,
NHF-10165,05 Sep 2024 | Seattle | USA,Extra Virgin Olive Oil 750ml,Pantry,North America,"37,00",USD, Maple Leaf Market,Carlos Mendez,Completed,0.2, 3 ,Retail,VIP client
NHF-10166,2024/02/19 - Calgary - Canada,Whole Wheat Pasta 500g,Pantry,North America,360.16,CAD ,Fresh & Fine ,Daniel Brooks, Shipped,0.1,35,Distributor,Phone order
NHF-10168,2024-11-07 | Austin | USA,Keto Trail Mix 300g,Snacks,North America,$70.57,USD,Lakeside Market,Luca Rossi,Pending, 20 % ,14,Retail,Rush delivery
NHF-10169,2024/10/25 - Austin - USA,Whole Wheat Pasta 500g,Pantry,North America,"307,37",USD,Harvest House ,Jonas Weber,Completed,N/A,17,Retail,Late entry
NHF-10170,2024-11-20 | Paris | France,Maple Granola 500g,Breakfast, Europe ,178.86, EUR , Cornerstone Retail ,Daniel Brooks,Cancelled,15%,20,Wholesale,Manual adjustment
NHF-10171,"Sep 25, 2024 |  Austin  |  USA",Whole Wheat Pasta 500g,Pantry,North America,39.71,USD,Euro  Taste  Hub,Fatima Noor,Completed ,,5,Online,
NHF-10173, 24 Jun 2024 | Calgary | Canada,Almond Butter 340g,pantry,north america,335.60,CAD ,  City Grocer,, Shipped,0.1,29,Retail,VIP client
NHF-10174, 2024/07/13 - Calgary - Canada,Cold Brew Coffee 1L,Beverage,North America,152.09,CAD,Bluebird  Grocery,Fatima Noor,Returned,,32,Online,
NHF-10175,2024/02/14 - Paris - France,Electrolyte Drink Mix,Fitness,Europe,"2,366", EUR , Cornerstone Retail ,Megan O'Neil,Returned, 5 % ,44,Retail,
NHF-10176,12-06-2024  |  Lyon  |  France,Greek Yogurt Mix,Dairy,Europe,110.92,EUR,  Maple Leaf Market ,Megan O'Neil,Pending,0%,20,Wholesale,Rush delivery
NHF-10177,"Jan 17, 2024| Lyon | France",Organic Oats 1kg,Pantry,Europe,"384,37", EUR ,    Everyday  Essentials,Daniel Brooks,processing,, 18 ,Wholesale,
NHF-10178,07/21/2024|Vancouver|Canada,Keto Trail Mix 300g,Snacks, North America ,146.09, cad , North Shore Foods ,Priya Shah,Completed ,N/A,25,Online,Rush delivery
